"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 09:24:56 UTC 2023","Wed Feb 08 09:24:59 UTC 2023","2191","","My First demo appp testing","","My First demo appp testing","should open the swipe page, swipe and check the picture presense","should open the swipe page, swipe and check the picture presense",""
"passed","Wed Feb 08 09:24:36 UTC 2023","Wed Feb 08 09:24:47 UTC 2023","10356","","My First demo appp testing","","My First demo appp testing","should sign up with valid credentials","should sign up with valid credentials",""
"passed","Wed Feb 08 09:24:34 UTC 2023","Wed Feb 08 09:24:36 UTC 2023","2207","","My First demo appp testing","","My First demo appp testing","should click on the sign up page and check the required fields presense","should click on the sign up page and check the required fields presense",""
"passed","Wed Feb 08 09:24:47 UTC 2023","Wed Feb 08 09:24:56 UTC 2023","9658","","My First demo appp testing","","My First demo appp testing","should sign in with valid credentials","should sign in with valid credentials",""
"passed","Wed Feb 08 09:24:31 UTC 2023","Wed Feb 08 09:24:34 UTC 2023","2845","","My First demo appp testing","","My First demo appp testing","should open login form and check the required fields presense","should open login form and check the required fields presense",""
